Title,Description,Director,Publication_Year,Runtime,Genre
Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Gary Trousdale,1991,84 min,"Animation, Family, Fantasy"
Dances with Wolves,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Kevin Costner,1990,181 min,"Adventure, Drama, Western"
Do the Right Thing,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Spike Lee,1989,120 min,"Comedy, Drama"
Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Barry Levinson,1988,133 min,Drama
Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Katsuhiro Ôtomo,1988,124 min,"Animation, Action, Sci-Fi"
The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,1987,98 min,"Adventure, Family, Fantasy"
Der Himmel über Berlin,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,Wim Wenders,1987,128 min,"Drama, Fantasy, Romance"
Au revoir les enfants,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",Louis Malle,1987,104 min,"Drama, War"
Tenkû no shiro Rapyuta,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Hayao Miyazaki,1986,125 min,"Animation, Adventure, Drama"
The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron,1984,107 min,"Action, Sci-Fi"
Gandhi,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,1982,191 min,"Biography, Drama, History"
Kagemusha,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,Akira Kurosawa,1980,180 min,"Drama, History, War"
Being There,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",Hal Ashby,1979,130 min,"Comedy, Drama"
Annie Hall,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,Woody Allen,1977,93 min,"Comedy, Romance"
Jaws,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,1975,124 min,"Adventure, Thriller"
Dog Day Afternoon,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Sidney Lumet,1975,125 min,"Biography, Crime, Drama"
Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Mel Brooks,1974,106 min,Comedy
Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",Franklin J. Schaffner,1973,151 min,"Biography, Crime, Drama"
The Exorcist,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",William Friedkin,1973,122 min,Horror
Sleuth,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",Joseph L. Mankiewicz,1972,138 min,"Mystery, Thriller"
The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich,1971,118 min,"Drama, Romance"
Fiddler on the Roof,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",Norman Jewison,1971,181 min,"Drama, Family, Musical"
Il conformista,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Bernardo Bertolucci,1970,113 min,Drama
Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill,1969,110 min,"Biography, Crime, Drama"
Rosemary's Baby,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,Roman Polanski,1968,137 min,"Drama, Horror"
Planet of the Apes,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",Franklin J. Schaffner,1968,112 min,"Adventure, Sci-Fi"
The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.,Mike Nichols,1967,106 min,"Comedy, Drama, Romance"
Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Mike Nichols,1966,131 min,Drama
The Sound of Music,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,Robert Wise,1965,172 min,"Biography, Drama, Family"
Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",David Lean,1965,197 min,"Drama, Romance, War"
Per un pugno di dollari,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Sergio Leone,1964,99 min,"Action, Drama, Western"
8½,A harried movie director retreats into his memories and fantasies.,Federico Fellini,1963,138 min,Drama
Vivre sa vie: Film en douze tableaux,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Jean-Luc Godard,1962,80 min,Drama
The Hustler,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Robert Rossen,1961,134 min,"Drama, Sport"
La dolce vita,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,Federico Fellini,1960,174 min,"Comedy, Drama"
Rio Bravo,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Howard Hawks,1959,141 min,"Action, Drama, Western"
Anatomy of a Murder,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",Otto Preminger,1959,161 min,"Crime, Drama, Mystery"
Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",Orson Welles,1958,95 min,"Crime, Drama, Film-Noir"
Cat on a Hot Tin Roof,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Richard Brooks,1958,108 min,Drama
Sweet Smell of Success,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,Alexander Mackendrick,1957,96 min,"Drama, Film-Noir"
The Killing,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,Stanley Kubrick,1956,84 min,"Crime, Drama, Film-Noir"
The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Charles Laughton,1955,92 min,"Crime, Drama, Film-Noir"
La Strada,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Federico Fellini,1954,108 min,Drama
Les diaboliques,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Henri-Georges Clouzot,1955,117 min,"Crime, Drama, Horror"
Stalag 17,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",Billy Wilder,1953,120 min,"Comedy, Drama, War"
Roman Holiday,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,William Wyler,1953,118 min,"Comedy, Romance"
A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Elia Kazan,1951,122 min,Drama
In a Lonely Place,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",Nicholas Ray,1950,94 min,"Drama, Film-Noir, Mystery"
Kind Hearts and Coronets,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Robert Hamer,1949,106 min,"Comedy, Crime"
Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,Alfred Hitchcock,1948,80 min,"Crime, Drama, Mystery"
Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.",Jacques Tourneur,1947,97 min,"Crime, Drama, Film-Noir"
Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",David Lean,1945,86 min,"Drama, Romance"
Laura,A police detective falls in love with the woman whose murder he is investigating.,Otto Preminger,1944,88 min,"Drama, Film-Noir, Mystery"
